User ID,Age,Gender,Location,Page Views,Time Spent (minutes)
55275,27,Female,FJ,3,21.32664917173813
55377,64,Female,KV,70,57.32496092367754
94498,65,Male,ZK,71,16.884054180016836
45383,35,Male,MO,27,37.67934190650606
93991,34,Male,HY,55,56.29236438030368
11750,44,Female,VB,51,12.20072396559049
28097,60,Female,RN,71,31.577603177479403
2029,65,Male,QU,39,22.311114463942207
35464,37,Male,EB,32,25.13933136321736
38738,48,Male,DU,58,24.815978815520676
8618,20,Male,DR,20,45.19561407579007
22337,59,Male,IE,73,12.873185238344057
57596,21,Male,VQ,82,50.37253393013501
24505,39,Male,CL,61,35.91652723404516
39923,37,Female,QQ,28,12.448406589982383
75006,34,Male,LN,87,1.6604503062937237
3567,39,Female,VR,1,46.24844057452167
22647,19,Male,SU,23,22.795796132267032
15820,43,Male,UR,97,51.515724918132136
82520,37,Male,FA,4,52.98871948761565
33293,23,Female,CN,40,33.04372536952888
36509,35,Female,GP,64,3.4448573661606483
97381,63,Male,SB,25,8.341012266863487
39089,43,Female,MT,20,9.477625431451242
85130,55,Female,BU,19,29.826212114589318
20117,55,Male,FB,94,14.971300279101118
43051,39,Male,FD,81,47.76822461166323
90568,22,Female,CE,51,49.23340719760366
57987,38,Male,IX,99,25.56628722316633
35375,37,Male,XN,15,2.9245587550602337
80726,58,Male,JD,2,36.84695878532819
27355,53,Male,NG,75,50.03473596524631
80398,21,Male,OZ,36,17.149690003525706
78674,41,Female,SF,38,35.15184086963009
12668,39,Male,YV,56,58.65322685585848
93050,59,Female,WE,75,22.540966600102653
7485,41,Male,HE,88,44.512206097234056
41086,23,Male,QZ,54,52.1688053483991
43974,42,Female,TZ,28,30.38068754575785
12644,39,Male,MZ,57,56.99305968261103
21092,21,Female,BN,78,43.83007534489619
74501,26,Male,RS,73,22.721974033375357
62751,43,Male,DR,96,31.13471561187657
23477,37,Female,ZI,58,52.483420641771495
96591,21,Female,JK,99,38.62334926808751
59160,26,Male,ES,11,12.249853185678887
63136,18,Male,PU,55,35.61248698381161
77756,65,Male,VW,27,2.481368467138118
87687,50,Male,ZF,14,4.872418676229454
79298,29,Female,FE,67,21.731685196946035
6219,23,Male,VS,71,14.27607477906888
20452,61,Male,HK,43,30.212125965611733
85355,23,Female,ST,57,39.35837810025057
845,21,Female,AQ,59,9.430841968196145
39742,20,Male,LT,69,3.2579309423695557
75644,24,Female,MK,17,46.38809223674832
93324,58,Male,UT,29,55.69311414733905
84562,23,Female,ZY,42,53.35303055693079
69404,32,Female,VB,60,16.510515802264802
51862,63,Male,TJ,81,40.74620196885969
23651,63,Female,RB,97,20.14220661707081
38334,35,Female,WO,43,25.758952764256208
55467,37,Female,PT,95,52.19401953477761
83744,55,Male,RH,5,59.35528675716226
69550,61,Female,QT,99,19.508326064562517
8695,21,Male,ZW,75,15.95421821097312
22255,62,Male,CD,66,18.822314871576964
20895,33,Male,JJ,42,31.919783306480703
10149,61,Female,KD,89,18.46521296464092
7838,24,Male,ZI,70,47.18872754695445
20036,59,Male,GT,2,11.89794513569622
50138,28,Male,HQ,48,7.521242214345797
71524,25,Male,FC,78,10.762983764783389
30219,30,Male,VJ,83,54.47759074191549
25004,64,Female,ZC,65,2.8050878537514445
51986,31,Male,WS,99,41.28730398959107
10149,34,Female,TH,57,33.168941170416126
18012,62,Female,DF,59,48.00389523185096
57020,20,Male,LG,56,7.592663500976508
22274,37,Male,OQ,47,18.57889044697754
58392,44,Male,CH,49,17.021591281789654
38796,19,Female,KL,11,33.07223179431077
6759,28,Female,BH,42,14.116339431819227
87893,36,Female,WV,34,32.25559604394988
38114,56,Male,ER,80,15.344461804015875
40214,31,Female,ES,26,6.690179992430626
84357,50,Male,QG,49,5.593730923807287
71577,46,Female,CZ,20,55.72783591150218
20646,24,Male,PA,11,41.51550628782704
74866,19,Male,WP,16,31.11692406818573
47483,34,Male,EA,75,25.809903514292
30433,58,Female,TF,33,46.53687050914128
5144,33,Female,OE,4,1.7256953233548713
70618,59,Female,ZV,24,41.090870292798414
23649,53,Male,QS,16,31.790208641498708
60178,23,Male,XO,82,16.897210889408417
6522,50,Female,UU,71,54.70645861968332
10572,30,Male,YP,84,19.47434914293904
61561,49,Male,KV,96,33.001660942776034
53402,25,Female,HF,17,7.461970454420848
